匚	a
乀	aa
乁	aaa
乚	aaaa
乛	aaaaa
	aaaaaa
彐	ab
肀	abi
巛	ac
纟	ace
冖	ad
讠	ada
礻	ado
衤	adoo
辶	adooo
冂	ae
罒	aee
罓	aeu
丬	af
亠	afe
冫	afee
疒	afeee
丷	ag
乑	ah
亻	ahi
丂	ai
丨	aii
亅	aiii
乂	aj
乊	aju
勹	ak
饣	aka
夂	ako
犭	aku
乇	al
钅	ala
	ale
攵	alo
	alu
彡	am
彳	ami
丒	an
乆	ano
丶	ao
亍	aoi
丆	ap
尢	apa
丌	api
廾	apii
	apu
刂	aq
丄	ar
虍	are
宀	as
氵	ase
忄	asi
灬	aso
丿	au
乄	ax
厶	axo
廴	axoo
	axooo
丅	ay
丏	aya
丗	aye
扌	ayee
覀	ayeee
耂	ayu
凵	az
卩	azi
屮	azii
阝	aziii
不	b
吧	b
闭	ba
标	bb
嬖	bba
壁	bbe
棒	bbee
梆	bbeea
璧	bbeeo
柄	bbei
桲	bbeia
檗	bbeio
欂	bbeioo
彬	bbeiu
杯	bbeu
弼	bbeua
剥	bbi
臂	bbia
岊	bbiai
避	bbo
榜	bboe
辟	bboee
棓	bboei
襞	bboeo
槟	bboo
屄	bboou
屏	bbou
栟	bboue
板	bbu
杓	bbua
枹	bbuaa
擘	bbue
柏	bbui
椑	bbuie
朳	bbuo
鐾	bbuoe
胞	bc
骉	bca
脖	bce
纰	bcea
绑	bcee
脿	bceeu
膊	bcei
膘	bceie
骠	bceiee
胈	bceu
编	bco
膀	bcoe
缤	bcoo
膑	bcoou
绊	bcou
驳	bcu
绷	bcua
缏	bcui
被	bd
袯	bda
邲	bdai
诐	bdau
裱	bde
补	bdi
扁	bdia
褙	bdie
必	bdo
遍	bdoa
褊	bdoai
谤	bdoe
祊	bdoeu
裨	bdu
褓	bdui
败	be
岜	bea
蚆	beai
罢	bee
蚌	beee
幖	beei
蛃	beeio
畀	beeu
豳	beeue
赑	bei
逼	beo
蝙	beoa
髌	beoo
贝	beu
崩	beua
髀	beui
睥	beuie
蝂	beuiu
贬	beuo
嶓	beuoi
部	bf
变	bfa
辫	bfaa
疤	bfai
病	bfe
庇	bfea
瓿	bfeao
斌	bfee
禀	bfeei
癍	bfeeo
瘭	bfei
冰	bfi
痹	bfia
辩	bfo
卞	bfoo
辨	bfou
瓣	bfu
亳	bfue
瘪	bfui
庳	bfuie
褒	bfuiu
瘢	bfuu
并	bg
粑	bga
羓	bgai
弊	bge
炳	bgei
熛	bgeie
糒	bgeieu
半	bgi
爆	bgia
蹩	bgiai
憋	bgo
迸	bgoa
煸	bgoai
焙	bgoe
炮	bgu
鳖	bgua
敝	bgue
白	bh
便	bhe
俵	bhee
卑	bhei
堡	bheie
佰	bheu
魃	bheua
倴	bheue
保	bhi
鼻	bhia
帛	bhiai
币	bhii
倍	bho
佖	bhoa
傍	bhoe
儦	bhoeo
傧	bhoo
伴	bhou
煲	bhouu
兵	bhu
鹎	bhua
伯	bhui
魄	bhuia
俾	bhuie
版	bhuu
比	bi
昪	bia
毕	bie
暴	biei
坒	bieie
昺	bieio
晡	bieioo
毙	bieu
曝	bii
匾	bio
毖	bioa
昄	biu
别	bj
爸	bja
鄙	bjai
邠	bjaii
跛	bjau
颁	bje
吡	bjea
哔	bjeae
跸	bjeaei
哺	bjei
坌	bjeie
跋	bjeu
蹦	bji
呗	bjia
嘣	bjiau
卟	bjio
八	bjo
咇	bjoa
踣	bjoe
啵	bjoo
叭	bju
豹	bjua
趵	bjuao
攽	bjue
包	bk
匕	bka
勹	bkaa
鲃	bkai
饽	bke
狴	bkea
鳔	bkei
鲾	bkeia
鲅	bkeu
备	bki
狈	bkia
刨	bkii
饼	bko
惫	bkoa
鳊	bkoai
飚	bkou
饱	bku
鲍	bkua
飑	bkuaa
鸨	bkuae
鲌	bkui
笔	bl
笆	bla
笾	blau
笨	ble
秕	blea
筚	bleae
簸	blei
馞	bleia
馛	bleu
箅	bli
秘	blo
馝	bloa
秉	bloo
簿	blooe
箔	bloou
稗	blu
幷	blue
犇	blueu
篦	blui
般	bm
彼	bma
舭	bme
舶	bmu
舨	bmuu
边	bn
埔	bne
妣	bnea
甏	bneao
婊	bnee
妭	bneu
坝	bni
埗	bnie
办	bno
塝	bnoe
彭	bnu
堋	bnua
埠	bnui
婢	bnuie
坋	bnuo
坂	bnuu
表	bo
玻	boa
邦	boai
耙	boaia
碧	boe
玤	boee
琫	boeee
帮	boi
邫	boia
琲	boie
班	boo
珌	booa
斑	booe
玢	bou
百	bp
奔	bpe
礴	bpei
砵	bpeie
皕	bpeu
布	bpi
泵	bpia
磅	bpo
碥	bpoa
碚	bpoe
殡	bpoo
碑	bpu
甭	bpua
飙	bpuau
觱	bpuaua
砭	bpuo
磻	bpuoi
北	br
钯	bra
邶	brai
辈	bre
钵	brei
镖	breie
镈	breiei
钚	breu
钹	breua
锛	breue
钸	breui
步	bri
背	bria
钡	briau
镚	briaua
悲	bro
铋	broa
镑	broe
镳	broeo
镔	broo
彪	bru
铇	brua
龅	bruaa
铂	brui
钣	bruu
宝	bs
怖	bse
悖	bsei
忭	bso
宾	bsu
愎	bsue
窆	bsuo
波	bt
渤	bte
沘	btea
浡	btei
灞	bteo
瀑	bti
濒	btie
泌	bto
汴	btoe
瀌	btoeo
滨	btoo
湴	btou
泊	btu
滗	btue
浜	btui
濞	btuii
把	bu
报	bua
摒	buae
拨	buau
捕	bue
拜	buee
霸	buei
搏	bueie
摽	bueiee
拔	bueu
摆	bui
捌	buia
拌	buo
抃	buoe
搒	buoeo
摈	buoo
播	buu
抱	buua
雹	buuaa
捭	buui
扮	buuo
扒	buuoo
掰	buuou
搬	buuu
扳	buuua
薄	bw
芭	bwa
薜	bwae
苯	bwe
荜	bwea
荸	bwei
菝	bweie
蔈	bweiee
茇	bweu
卜	bwo
苾	bwoa
萹	bwoai
苄	bwoe
蔀	bwoea
蒡	bwoeo
藨	bwoeoo
菠	bwoo
蔽	bwou
苞	bwu
葆	bwui
蓖	bwuie
萆	bwuiei
蓓	bwuio
蕃	bwuo
弁	bx
畚	bxe
本	by
勃	bya
靶	byai
孛	byaie
邴	byaii
鞁	byau
博	bye
鞴	byei
贲	byi
醭	byii
丙	byo
逋	byoa
鬓	byoo
靽	byou
鞭	byu
鹁	byua
僰	byuo
髟	byuu
巴	bz
陂	bza
陛	bze
孢	bzu
阪	bzuu
酬	cyou
醇	cyoea
裁	cyoe
聪	cyo
出	c
常	c
阐	ca
闯	caa
阊	cai
层	cb
楚	cba
椽	cbaa
弛	cbai
孱	cbaia
郴	cbaii
橙	cbao
柽	cbaoe
杈	cbaoo
弨	cbau
村	cbe
椿	cbee
梼	cbeee
楱	cbeeee
材	cbei
槽	cbeii
楂	cbeiia
楮	cbeiia
樗	cbeo
橱	cbeu
查	cbi
梣	cbia
尺	cbo
迟	cboa
榇	cboe
榱	cboei
檫	cboo
羼	cbou
槎	cboue
椎	cbu
栅	cbua
椆	cbuae
柢	cbuao
杵	cbue
棰	cbuee
枨	cbueo
槌	cbui
梴	cbuia
枞	cbuo
棽	cbuoo
纯	cc
肠	cca
巛	ccaa
骣	ccae
驰	ccai
绌	ccaii
骖	ccao
腠	cce
肫	ccea
	ccee
綝	ccei
巢	cci
骋	ccia
绰	ccie
剿	ccii
缠	cco
缞	ccoe
膪	ccoei
塍	ccou
脆	ccu
绸	ccua
朐	ccuai
胣	ccue
骢	ccui
脞	ccuo
肜	ccuu
初	cd
词	cda
祠	cdae
衩	cdao
诚	cde
衬	cdei
褚	cdeii
谌	cdeiu
昶	cdi
裎	cdia
禅	cdo
诧	cdoo
谄	cdu
谗	cdua
襜	cduao
谶	cduo
褫	cduu
财	ce
畅	cea
黜	ceai
眙	ceao
蛏	ceaoe
黪	ceaoeu
助	ceau
畴	cee
帱	ceee
蝽	ceeei
螬	ceei
畤	ceeie
嵖	ceeii
瞋	ceeiia
串	cei
赐	ceia
圌	ceiae
瞠	ceio
虫	ceo
辿	ceoa
遄	ceoao
幢	ceoe
螭	ceoei
崇	ceoo
蝉	ceou
嵯	ceoue
嶒	ceoui
崔	ceu
蟾	ceua
巉	ceuau
眵	ceuaua
瞅	ceue
睬	ceuo
蜍	ceuoe
岑	ceuoo
产	cf
瘳	cfa
床	cfe
瓷	cfea
凑	cfee
瘛	cfeeo
庱	cfei
颤	cfeu
冲	cfi
畜	cfia
啻	cfiae
衰	cfiau
廛	cfiauo
疵	cfie
瘁	cfo
麤	cfoe
疢	cfou
瘥	cfoue
粢	cfouo
次	cfu
充	cfua
鹑	cfuae
痴	cfue
犨	cfuei
疮	cfuo
卒	cfuoe
痤	cfuoei
差	cg
兹	cga
冁	cgae
煁	cge
曾	cgi
粗	cgia
灿	cgiai
单	cgiaii
炽	cgiau
焯	cgie
炒	cgiu
慈	cgo
粹	cgoe
糍	cgou
炊	cgu
鹚	cgua
歘	cguau
糙	cgue
熜	cgui
从	ch
仓	cha
伺	chae
传	che
丛	chee
俦	cheee
爨	chei
臭	cheu
创	chi
促	chia
俶	chiaa
侧	chiai
倡	chiaia
偲	chiao
催	chiau
川	chii
偿	chio
储	cho
雠	choa
侪	choe
隹	choee
魑	choei
佽	choeu
侘	choo
仇	chu
囱	chua
傺	chuae
鸧	chuaee
侈	chuau
儳	chuaua
伥	chue
倕	chuee
伧	chuo
偁	chuoi
车	ci
辍	cia
邨	ciai
晨	cie
辏	ciee
晟	cieu
昌	cii
臣	ciia
旵	ciiai
虿	ciiao
匙	ciu
晁	ciuo
吃	cj
嗤	cja
呎	cjae
啜	cjao
采	cje
呈	cjee
踌	cjeee
嘲	cjei
躇	cjeie
喳	cjeii
嘈	cjeiia
蹅	cjeiia
吋	cjeio
瓻	cjeioo
哧	cjeiu
嗔	cjeiuo
豺	cjeiuu
蹰	cjeu
唱	cji
喘	cjia
踹	cjiae
嘬	cjiaei
岔	cjiai
汆	cjiao
肏	cjiau
呲	cjie
踔	cjiei
跐	cjieu
刹	cjii
吵	cjiu
蹲	cjo
逞	cjoa
蹴	cjoe
噇	cjoei
躔	cjoeia
啐	cjoeu
嚓	cjoo
蹿	cjooi
蹭	cjou
蹉	cjoue
噌	cjoui
彩	cju
吹	cjua
叱	cjuaa
鬯	cjuaaa
踟	cjue
踩	cjuo
趻	cjuoo
处	ck
刍	cka
猜	cke
舛	ckea
册	ckee
	ckeei
猹	ckei
馇	ckeii
触	cki
猖	ckia
鲳	ckiai
鲿	ckio
匆	cko
猝	ckoe
雏	cku
馋	ckua
鸱	ckuae
饬	ckue
种	cliai
笞	cla
酂	clai
	clao
重	cle
垂	clee
筹	cleee
策	clei
秤	cleo
程	cli
篡	clia
乘	clie
长	cl
愁	cloa
辞	clo
簇	cloe
称	clu
稠	clua
掣	clue
毳	clueu
氚	clui
矬	cluo
篪	cluu
船	cm
彻	cme
舡	cmei
艚	cmeii
徜	cmi
徂	cmia
斶	cmiau
彳	cmii
斥	cmo
惩	cmoa
艟	cmoe
舱	cmu
场	cn
超	cna
墀	cnae
媸	cnai
城	cne
堾	cnee
嫦	cni
娼	cnia
埕	cniae
赪	cnie
埫	cnio
姹	cno
垞	cnoo
婵	cnou
赤	cnu
坻	cnua
趁	cnuo
坼	cnuu
春	co
玚	coa
漦	coe
瑃	coee
珹	coeu
蚕	coi
蠢	coia
珵	coiae
璀	coiau
璨	coie
玼	coieu
亍	coii
刬	coiii
耖	coiu
琛	coo
珫	cooe
琮	cooo
瑳	coou
舂	cou
琤	coua
璁	coui
成	cp
存	cpa
础	cpai
碜	cpao
残	cpe
臧	cpea
砗	cpeai
辰	cpee
厨	cpei
碴	cpeii
厝	cpeiia
礤	cpeiu
唇	cpi
盛	cpia
殂	cpiae
厕	cpiai
